empresa,uds_id,hsstart,hsstop,datai,dataf,sentido,linha,carro,qtpsg,valor_jornada,nao_sei
1,6220740,05:39:58,06:34:20,01/01/2024,01/01/2024,0,1702,20108,1,4,
1,6220740,05:39:58,06:34:20,01/01/2024,01/01/2024,0,1702,20108,2,0,
1,6220740,05:39:58,06:34:20,01/01/2024,01/01/2024,0,1702,20108,1,4,
1,6220740,05:39:58,06:34:20,01/01/2024,01/01/2024,0,1702,20108,5,21,25.0
1,6220740,06:34:23,07:21:19,01/01/2024,01/01/2024,1,1702,20108,9,36,
1,6220740,06:34:23,07:21:19,01/01/2024,01/01/2024,1,1702,20108,2,0,
1,6220740,06:34:23,07:21:19,01/01/2024,01/01/2024,1,1702,20108,2,0,
1,6220740,06:34:23,07:21:19,01/01/2024,01/01/2024,1,1702,20108,1,4,25.0
1,6220740,07:21:22,08:25:24,01/01/2024,01/01/2024,0,1702,20108,2,0,
1,6220740,07:21:22,08:25:24,01/01/2024,01/01/2024,0,1702,20108,6,25,5.0
1,6220740,07:21:22,08:25:24,01/01/2024,01/01/2024,0,1702,20108,6,24,
1,6220740,08:32:35,09:14:47,01/01/2024,01/01/2024,1,1702,20108,2,8,
1,6220740,08:32:35,09:14:47,01/01/2024,01/01/2024,1,1702,20108,1,4,
1,6220740,08:32:35,09:14:47,01/01/2024,01/01/2024,1,1702,20108,4,0,
1,6220740,08:32:35,09:14:47,01/01/2024,01/01/2024,1,1702,20108,3,12,75.0
1,6220740,09:14:51,10:19:18,01/01/2024,01/01/2024,0,1702,20108,3,12,75.0
1,6220740,09:14:51,10:19:18,01/01/2024,01/01/2024,0,1702,20108,7,0,
1,6220740,09:14:51,10:19:18,01/01/2024,01/01/2024,0,1702,20108,1,4,
1,6220740,09:14:51,10:19:18,01/01/2024,01/01/2024,0,1702,20108,1,4,
1,6220740,10:29:45,11:11:24,01/01/2024,01/01/2024,1,1702,20108,3,12,75.0
1,6220740,10:29:45,11:11:24,01/01/2024,01/01/2024,1,1702,20108,4,0,
1,6220740,10:29:45,11:11:24,01/01/2024,01/01/2024,1,1702,20108,1,4,
1,6220740,10:29:45,11:11:24,01/01/2024,01/01/2024,1,1702,20108,3,12,
1,6220740,11:11:27,12:15:39,01/01/2024,01/01/2024,0,1702,20108,5,21,25.0
1,6220740,11:11:27,12:15:39,01/01/2024,01/01/2024,0,1702,20108,1,0,
1,6220740,11:11:27,12:15:39,01/01/2024,01/01/2024,0,1702,20108,1,0,
1,6220740,11:11:27,12:15:39,01/01/2024,01/01/2024,0,1702,20108,7,0,
1,6220740,11:11:27,12:15:39,01/01/2024,01/01/2024,0,1702,20108,5,20,
