,Longitude,Latitude
86,-43.837336,-16.76047
87,-43.835929,-16.761999
88,-43.837736,-16.762588
89,-43.840031,-16.763071
90,-43.841211,-16.761902
91,-43.840426,-16.759792
92,-43.841981,-16.758698
93,-43.840061,-16.756545
94,-43.839654,-16.755675
95,-43.83972,-16.755676
96,-43.839675,-16.753723
97,-43.839722,-16.753705
98,-43.841489,-16.753128
99,-43.841489,-16.753164
100,-43.844498,-16.742651
101,-43.84447,-16.742696
102,-43.842923,-16.742597
103,-43.836894,-16.73442
104,-43.835463,-16.733625
105,-43.83552,-16.733644
106,-43.834203,-16.732588
107,-43.834241,-16.732561
108,-43.836721,-16.731924
109,-43.836702,-16.731987
110,-43.838587,-16.732043
111,-43.838671,-16.732062
112,-43.838877,-16.730563
113,-43.838943,-16.730581
114,-43.83726,-16.729758
115,-43.837344,-16.729741
116,-43.836286,-16.727972
117,-43.836342,-16.727954
118,-43.835955,-16.726759
119,-43.83603,-16.726751
120,-43.836208,-16.725342
121,-43.836254,-16.725405
122,-43.837194,-16.725067
123,-43.837203,-16.725139
124,-43.838425,-16.724758
125,-43.838424,-16.724821
126,-43.841242,-16.72415
127,-43.841232,-16.72424
128,-43.842929,-16.724512
129,-43.842918,-16.724629
130,-43.831334,-16.721717
131,-43.831343,-16.721681
132,-43.830158,-16.72077
133,-43.830223,-16.720762
134,-43.829541,-16.720405
135,-43.829588,-16.720351
136,-43.827452,-16.719996
137,-43.827452,-16.719941
138,-43.825119,-16.71954
139,-43.825138,-16.719504
140,-43.822623,-16.719751
141,-43.822624,-16.719679
142,-43.820178,-16.719276
143,-43.820169,-16.719204
144,-43.817883,-16.718829
145,-43.817865,-16.718766
146,-43.815213,-16.718299
147,-43.815223,-16.718245
148,-43.813967,-16.718048
149,-43.813958,-16.717994
150,-43.810951,-16.71747
151,-43.810942,-16.717398
152,-43.808834,-16.717042
153,-43.808843,-16.716988
154,-43.807035,-16.716697
155,-43.807045,-16.716634
156,-43.806663,-16.719208
157,-43.81727,-16.710149
158,-43.817186,-16.71014
159,-43.816961,-16.711603
160,-43.816867,-16.71162
161,-43.81377,-16.713555
162,-43.811867,-16.713363
163,-43.814298,-16.713169
164,-43.816488,-16.713796
165,-43.816423,-16.713769
166,-43.81533,-16.716085
167,-43.81534,-16.715995
168,-43.813472,-16.716264
169,-43.813416,-16.716246
170,-43.810748,-16.72141
171,-43.810692,-16.721436
172,-43.812347,-16.722286
173,-43.812355,-16.722386
174,-43.81446,-16.724893
175,-43.817695,-16.723411
176,-43.817695,-16.723474
177,-43.820066,-16.723795
178,-43.822659,-16.721595
179,-43.825295,-16.718474
180,-43.825416,-16.718538
181,-43.825529,-16.718557
182,-43.827824,-16.715913
183,-43.828002,-16.715868
185,-43.829249,-16.71452
186,-43.831182,-16.712822
187,-43.831153,-16.712885
188,-43.832289,-16.714184
189,-43.832233,-16.714229
190,-43.834076,-16.713444
191,-43.834142,-16.713445
192,-43.834632,-16.71295
193,-43.834632,-16.713005
194,-43.836274,-16.712951
195,-43.838656,-16.712946
196,-43.838655,-16.713027
197,-43.841788,-16.712982
199,-43.842212,-16.71424
200,-43.842155,-16.714285
201,-43.842216,-16.715117
202,-43.842151,-16.715089
203,-43.84251,-16.717713
204,-43.84249,-16.717848
206,-43.84413,-16.716637
208,-43.843828,-16.713734
209,-43.839436,-16.70807
210,-43.839568,-16.707844
211,-43.835406,-16.704477
212,-43.835566,-16.704279
213,-43.832383,-16.703429
214,-43.832609,-16.703259
215,-43.82949,-16.702563
216,-43.829604,-16.702311
217,-43.819799,-16.704669
221,-43.818093,-16.695322
223,-43.812287,-16.693997
224,-43.812269,-16.693942
225,-43.80937,-16.697116
226,-43.809323,-16.69717
